treatment,outcome,date
2,0,07/06/2019
6,0,07/06/2019
2,1,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
6,0,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
6,0,07/06/2019
1,0,07/06/2019
6,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
2,1,07/06/2019
6,0,07/06/2019
6,0,07/06/2019
2,1,07/06/2019
6,0,07/06/2019
2,1,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
2,1,07/06/2019
1,0,07/06/2019
3,0,07/06/2019
6,0,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
5,0,07/06/2019
2,1,07/06/2019
2,1,07/06/2019
5,0,07/06/2019
2,0,07/06/2019
4,0,07/06/2019
6,1,07/06/2019
2,0,07/06/2019
6,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
5,1,07/06/2019
2,1,07/06/2019
5,0,07/06/2019
1,1,07/06/2019
2,0,07/06/2019
6,0,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
5,1,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
6,0,07/06/2019
5,0,07/06/2019
2,0,07/06/2019
6,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
6,0,07/06/2019
6,0,07/06/2019
2,0,07/06/2019
6,0,07/06/2019
3,0,07/06/2019
6,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
6,0,07/06/2019
2,0,07/06/2019
6,0,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
3,0,07/06/2019
3,1,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
5,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
3,1,07/06/2019
2,0,07/06/2019
2,1,07/06/2019
5,0,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
5,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
5,0,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
6,1,07/06/2019
4,0,07/06/2019
6,0,07/06/2019
3,0,07/06/2019
5,0,07/06/2019
2,0,07/06/2019
2,1,07/06/2019
6,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
6,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
3,1,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
3,1,07/06/2019
6,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
6,0,07/06/2019
2,0,07/06/2019
5,0,07/06/2019
5,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
1,0,07/06/2019
6,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
2,1,07/06/2019
3,0,07/06/2019
5,0,07/06/2019
6,1,07/06/2019
3,0,07/06/2019
5,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
4,0,07/06/2019
6,1,07/06/2019
2,1,07/06/2019
5,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
2,1,07/06/2019
3,0,07/06/2019
3,0,07/06/2019
2,1,07/06/2019
2,0,07/06/2019
2,1,07/06/2019
5,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
6,0,07/06/2019
2,1,07/06/2019
2,1,07/06/2019
2,0,07/06/2019
6,0,07/06/2019
6,1,07/06/2019
6,0,07/06/2019
3,1,07/06/2019
3,0,07/06/2019
3,0,07/06/2019
6,0,07/06/2019
2,1,07/06/2019
2,1,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
3,0,07/06/2019
1,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
2,1,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
2,1,07/06/2019
6,0,07/06/2019
3,1,07/06/2019
3,0,07/06/2019
4,1,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
6,0,07/06/2019
2,1,07/06/2019
6,0,07/06/2019
3,0,07/06/2019
2,1,07/06/2019
2,1,07/06/2019
3,0,07/06/2019
5,1,07/06/2019
6,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
3,1,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
6,0,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
6,1,07/06/2019
6,1,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
6,1,07/06/2019
3,0,07/06/2019
5,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
5,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
6,0,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
6,0,07/06/2019
3,0,07/06/2019
6,0,07/06/2019
3,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
3,0,07/06/2019
6,0,07/06/2019
2,0,07/06/2019
6,0,07/06/2019
3,0,07/06/2019
2,0,07/06/2019
2,0,07/06/2019
6,0,07/06/2019
1,0,07/06/2019
3,0,07/06/2019
2,1,07/06/2019
2,1,07/06/2019
3,0,07/06/2019
3,0,07/06/2019
3,0,07/06/2019
6,1,07/06/2019
2,0,07/06/2019
4,1,07/06/2019
2,1,07/06/2019
6,1,07/06/2019
5,1,07/06/2019
2,0,07/06/2019
6,0,07/06/2019
