nsw,age,educ,black,hisp,married,re74,re75,re78,u74,u75,u78
0,23,10,1,0,0,0,0,0,1,1,1
0,26,12,0,0,0,0,0,12383.7,1,1,0
0,22,9,1,0,0,0,0,0,1,1,1
0,18,9,1,0,0,0,0,10740.1,1,1,0
0,45,11,1,0,0,0,0,11796.5,1,1,0
0,18,9,1,0,0,0,0,9227.05,1,1,0
0,24,8,0,0,0,0,0,10569.3,1,1,0
0,34,11,1,0,1,0,0,6040.34,1,1,0
0,24,4,0,1,0,0,0,3880.83,1,1,0
0,36,10,1,0,0,0,0,0,1,1,1
0,21,14,1,0,0,0,0,5775.06,1,1,0
0,28,9,1,0,0,0,0,0,1,1,1
0,27,7,1,0,1,0,0,0,1,1,1
0,19,11,0,0,0,0,0,0,1,1,1
0,20,8,1,0,0,0,0,0,1,1,1
0,34,12,1,0,0,0,0,2113.72,1,1,0
0,24,10,1,0,0,0,0,7618.64,1,1,0
0,22,8,0,1,0,0,0,9920.95,1,1,0
0,25,11,1,0,0,0,0,4196.38,1,1,0
0,39,9,1,0,0,0,0,0,1,1,1
0,19,9,1,0,1,0,0,16658.3,1,1,0
0,44,9,1,0,0,0,0,9722,1,1,0
0,27,8,1,0,0,0,0,3783.66,1,1,0
0,25,8,1,0,0,0,0,3515.93,1,1,0
0,31,10,1,0,0,0,0,17014.6,1,1,0
0,34,10,1,0,1,0,0,0,1,1,1
0,21,7,0,1,0,0,0,0,1,1,1
0,33,12,1,0,0,0,0,5970.26,1,1,0
0,18,10,0,1,0,0,0,1859.17,1,1,0
0,26,12,1,0,1,0,0,6191.94,1,1,0
0,31,12,1,0,0,0,0,7284.39,1,1,0
0,35,10,1,0,0,0,0,445.831,1,1,0
0,20,12,1,0,0,0,0,0,1,1,1
0,25,11,1,0,0,0,0,0,1,1,1
0,25,10,1,0,0,0,0,7367.04,1,1,0
0,35,11,1,0,0,0,0,0,1,1,1
0,20,10,1,0,0,0,0,2015.5,1,1,0
0,25,9,0,1,0,0,0,15791.1,1,1,0
0,27,10,1,0,0,0,0,1135.47,1,1,0
0,20,11,0,1,0,0,0,6378.72,1,1,0
0,26,11,1,0,0,0,0,7176.19,1,1,0
0,38,8,1,0,0,0,0,0,1,1,1
0,34,10,1,0,0,0,0,7952.54,1,1,0
0,19,12,1,0,0,0,0,0,1,1,1
0,32,8,1,0,0,0,0,7152.13,1,1,0
0,20,9,0,1,0,0,0,8329.82,1,1,0
0,23,10,1,0,0,0,0,0,1,1,1
0,38,10,1,0,0,0,0,12429.9,1,1,0
0,24,11,1,0,0,0,0,0,1,1,1
0,23,11,1,0,0,0,0,5088.76,1,1,0
0,20,7,0,1,0,0,0,4374.04,1,1,0
0,21,11,1,0,0,0,0,1553.29,1,1,0
0,25,10,1,0,0,0,0,0,1,1,1
0,22,11,1,0,1,0,0,1698.3,1,1,0
0,23,11,1,0,0,0,0,0,1,1,1
0,24,12,0,0,0,0,0,11294.6,1,1,0
0,29,11,1,0,0,0,0,0,1,1,1
0,24,11,1,0,0,0,0,14626.4,1,1,0
0,22,9,1,0,0,0,0,12898.4,1,1,0
0,28,11,1,0,0,0,0,5767.13,1,1,0
0,18,10,0,1,0,0,0,6527.92,1,1,0
0,26,10,1,0,0,0,0,3931.24,1,1,0
0,25,10,1,0,0,0,0,20942.2,1,1,0
0,24,10,1,0,0,0,0,0,1,1,1
